v_g,i_ds,r
10.007,0.0006889279,435.45921133401623
9.823308,0.0006913308,433.94565958872363
9.90941,0.0006898992,434.8461340439299
9.858883,0.0006903915,434.5360567156461
9.806289,0.0006908902,434.222398870327
9.75832,0.0006913482,433.9347379511511
9.707649,0.0006917591,433.67698379392476
9.523508,0.0006943015,432.0889411876541
9.608465,0.0006929312,432.943414872934
9.558987,0.0006932727,432.7301507761664
9.371815,0.0006958006,431.1580070497208
9.4567,0.0006943613,432.0517286893725
9.272906,0.0006966126,430.65543172776376
9.355924,0.0006952746,431.4841934395417
9.306997,0.0006957705,431.1766595450655
9.258254,0.000696302,430.84753454679145
9.204307,0.0006967853,430.5486926891253
9.022125,0.0006991122,429.1156698452695
9.103985,0.0006977072,429.9797966826199
9.050353,0.0006982857,429.62357671079326
8.998796,0.0006986888,429.3757106168011
8.951986,0.0006992482,429.03220916407076
8.900952,0.0006996398,428.79207272084864
8.852603,0.000700294,428.3915041396899
8.669674,0.0007026083,426.98043846051917
8.751067,0.0007012736,427.7930896015478
8.699532,0.0007018262,427.4562562640152
8.649361,0.0007022495,427.19859537101837
8.600774,0.0007026406,426.96081040577496
8.418824,0.0007049125,425.58473569414645
8.501514,0.0007035049,426.43626220656034
8.447483,0.0007040768,426.0898811038795
8.266951,0.0007063301,424.7305898474382
8.349864,0.0007049593,425.55648248061976
8.168056,0.0007072625,424.1706579947332
8.249802,0.0007060388,424.90582670527454
8.200946,0.0007064813,424.6396896846385
8.150618,0.0007069745,424.3434522744455
7.967341,0.0007092325,422.99246015939764
8.051595,0.0007079043,423.7860965105029
8.002059,0.0007082994,423.5497022869142
7.81892,0.0007107548,422.0864917127538
7.903925,0.0007092732,422.9681877166654
7.850848,0.0007097945,422.65754383839266
7.667313,0.0007120545,421.3160649922162
7.753061,0.0007106799,422.1309762665301
7.568233,0.0007129869,420.76509400102583
7.65358,0.0007116512,421.554829107293
7.601656,0.0007120414,421.3238162837161
7.550675,0.0007125761,421.007665005885
7.501094,0.0007129667,420.77701525190446
7.317506,0.0007150837,419.5313080133137
7.401699,0.0007137663,420.3056378537345
7.35248,0.0007142551,420.01800197156444
7.30323,0.0007146781,419.7694038756749
7.251927,0.0007151839,419.47253007233525
7.067305,0.0007174505,418.14731469279064
7.152788,0.0007161943,418.88074227901564
7.096621,0.0007166349,418.62320687982117
7.047113,0.000717177,418.30677782472105
6.996934,0.0007174668,418.13781487868147
6.813271,0.0007197581,416.80670214062195
6.897724,0.0007183954,417.5973287134077
6.713999,0.0007207039,416.259714981423
6.795558,0.0007193783,417.0267576878535
6.745954,0.0007197286,416.82378607714077
6.562184,0.0007221884,415.4040690767118
6.648056,0.0007207938,416.20779756984587
6.596282,0.0007211816,415.9839907174559
6.413881,0.0007233251,414.75126468029384
6.496766,0.0007220818,415.46539464088414
6.312174,0.0007243155,414.18415041511605
6.398348,0.0007228672,415.0139887381804
6.346245,0.0007233163,414.75631062095516
6.297077,0.0007237663,414.4984368573115
6.247414,0.0007242736,414.2081114098319
6.061469,0.000726424,412.9819499355748
6.145393,0.0007251818,413.68936727314446
5.962415,0.0007273557,412.45294427472004
6.046557,0.0007259346,413.2603680827446
5.996702,0.0007263561,413.02055562003267
5.813843,0.0007284529,411.8317052482048
5.89832,0.0007271672,412.55986243603945
5.844775,0.0007276575,412.28187711938654
5.795652,0.0007279096,412.13908979906296
5.612675,0.0007302196,410.8353158419741
5.697276,0.0007289444,411.554022501579
5.513642,0.0007311457,410.31493449253685
5.597186,0.0007298206,411.059923493527
5.411916,0.0007319965,409.8380251818144
5.494981,0.0007307033,410.5633572477365
5.443511,0.0007309758,410.41030359691797
5.395694,0.0007313968,410.17406693603255
5.214032,0.0007336187,408.931778865506
5.296317,0.000732326,409.6536242056133
5.241842,0.0007326698,409.46139720785544
5.19414,0.000733204,409.1630705779019
5.012287,0.0007353229,407.9840298731346
5.087996,0.0007340487,408.692229820719
5.037743,0.0007344647,408.460746990291
4.988194,0.0007349225,408.2063074677942
